timestamp,Green1 Count,Green2 Count
153,159399,136167
154,159427,136112
155,159458,136085
156,159425,136021
157,159315,135881
158,159198,135764
159,159094,135653
160,159007,135565
161,158960,135497
162,158931,135444
163,158911,135394
164,158903,135345
165,158897,135302
166,158908,135273
167,158941,135247
168,158985,135231
169,159033,135210
170,159087,135183
171,159151,135183
172,159210,135168
173,159234,135137
174,159192,135088
175,159110,134996
176,159021,134906
177,158930,134818
178,158850,134785
179,158796,134746
180,158781,134727
181,158777,134704
182,158774,134726
183,158786,134686
184,158822,134693
185,158853,134683
186,158900,134695
187,158956,134718
188,159018,134727
189,159082,134734
190,159143,134740
191,159181,134754
192,159136,134746
193,159054,134707
194,158979,134672
195,158893,134632
196,158832,134606
197,158800,134571
198,158798,134568
199,158800,134562
200,158805,134580
201,158805,134597
202,158844,134620
203,158887,134642
204,158949,134673
205,159016,134702
206,159077,134719
207,159153,134739
208,159215,134752
209,159287,134731
210,159332,134773
211,159297,134751
212,159224,134680
213,159172,134645
214,159110,134597
215,159092,134561
216,159119,134536
217,159147,134535
218,159168,134534
219,159182,134544
220,159208,134556
221,159247,134596
222,159306,134597
223,159359,134640
224,159406,134664
225,159467,134686
226,159531,134710
227,159598,134720
228,159658,134722
229,159699,134741
230,159688,134735
231,159646,134711
232,159570,134660
233,159544,134631
234,159532,134612
235,159536,134613
236,159567,134601
237,159570,134615
238,159588,134632
239,159609,134652
240,159652,134662
241,159701,134681
242,159747,134710
243,159794,134735
244,159847,134753
245,159912,134775
246,159965,134774
247,160021,134804
248,160060,134814
249,160037,134804
250,160004,134775
251,159955,134708
252,159930,134707
253,159914,134689
254,159938,134690
255,159962,134705
256,159983,134735
257,160014,134774
258,160047,134808
259,160072,134832
260,160110,134884
261,160147,134903
262,160185,134930
263,160228,134965
264,160272,134997
265,160323,135028
266,160363,135043
267,160378,135057
268,160337,135059
269,160282,135022
270,160237,135006
271,160195,134984
272,160171,134967
273,160172,134958
274,160179,134964
275,160166,134950
276,160164,134972
277,160170,134969
