timestamp ch1 ch2 ch3 ambient
653329274713646592 -48807 -74128 -64691 -349909
653329274721084928 -49139 -74131 -64855 -350095
653329274728523264 -49206 -74178 -65079 -350185
653329274735961600 -49140 -74286 -65281 -350265
653329274743399936 -49310 -74566 -65277 -350286
653329274750838272 -49364 -74420 -65316 -350271
653329274758276608 -49420 -74502 -65313 -350240
653329274765714944 -49539 -74473 -65395 -350222
653329274773153280 -49477 -74572 -65445 -350303
653329274780591616 -49332 -74454 -65388 -350239
653329274788029952 -49306 -74390 -65359 -350255
653329274795468288 -49570 -74568 -65443 -350288
653329274802906624 -49622 -74585 -65429 -350338
653329274810344960 -49667 -74541 -65481 -350298
653329274817783296 -49575 -74672 -65338 -350327
653329274825221632 -49493 -74446 -65329 -350220
653329274832659968 -49587 -74646 -65377 -350306
653329274840160201 -49676 -74536 -65635 -350353
653329274847594896 -49741 -74467 -65550 -350298
653329274855029591 -49512 -74679 -65547 -350190
653329274862464286 -49644 -74756 -65532 -350184
653329274869898981 -49682 -74634 -65595 -350240
653329274877333676 -49717 -74720 -65701 -350293
653329274884768371 -49622 -74636 -65770 -350313
653329274892203066 -49630 -74598 -65698 -350303
653329274899637761 -49691 -74537 -65735 -350247
653329274907072456 -49656 -74707 -65748 -350239
653329274914507151 -49883 -74732 -65715 -350248
653329274921941846 -49806 -74662 -65758 -350298
653329274929376541 -49755 -74652 -65678 -350289
653329274936811236 -49622 -74740 -65632 -350230
653329274944245931 -49799 -74813 -65712 -350322
653329274951680626 -49751 -74654 -65774 -350313
653329274959115321 -49616 -74716 -65679 -350195
653329274966550016 -49761 -74733 -65678 -350246
653329274973922816 -49907 -74422 -66096 -350001
653329274981361152 -49861 -74547 -65856 -350149
653329274988799488 -49826 -74705 -65698 -350181
653329274996237824 -49725 -73549 -64652 -349759
653329275003676160 -49765 -74175 -65411 -350084
653329275011114496 -49772 -74419 -65664 -350179
653329275018552832 -49710 -74491 -65757 -350237
653329275025991168 -48648 -73602 -64700 -349194
653329275033429504 -49344 -74221 -65350 -349777
653329275040867840 -49579 -74436 -65654 -350075
653329275048306176 -49682 -74514 -65698 -350167
653329275055744512 -48707 -74583 -65811 -350238
653329275063182848 -49389 -74728 -65913 -350308
653329275070621184 -49597 -74717 -65860 -350333
653329275078059520 -49643 -74761 -65753 -350193
653329275085497856 -49764 -74835 -65911 -350292
653329275092936192 -49805 -74853 -65936 -350335
653329275100374528 -49801 -74777 -65834 -350235
653329275107936658 -49879 -74900 -65622 -350168
653329275115367712 -49919 -74782 -65813 -350320
653329275122798766 -49903 -74733 -65860 -350361
653329275130229820 -49736 -74623 -65791 -350257
653329275137660874 -49747 -74569 -65824 -350239
653329275145091928 -49781 -74404 -65849 -350180
653329275152522982 -49771 -74470 -65820 -350284
653329275159954036 -49837 -74512 -65730 -350218
653329275167385090 -49917 -74590 -65853 -350276
653329275174816144 -49751 -74489 -65730 -350112
653329275182247198 -49781 -74570 -65842 -350253
653329275189678252 -49845 -74700 -65917 -350229
653329275197109306 -49849 -74708 -65981 -350220
653329275204540360 -49925 -74802 -66048 -350360
653329275211971414 -50021 -74795 -66022 -350255
653329275219402468 -50077 -74744 -66100 -350264
653329275226833522 -50271 -74802 -66163 -350177
653329275234264576 -50377 -74966 -66309 -350334
653329275241633737 -50300 -75120 -65971 -350103
653329275249068432 -50328 -75015 -66168 -350081
653329275256503127 -50350 -75234 -66298 -350289
653329275263937822 -50435 -75308 -66501 -350405
653329275271372517 -50325 -75204 -66476 -350336
653329275278807212 -50330 -75199 -66377 -350246
653329275286241907 -50428 -75304 -66564 -350239
653329275293676602 -50542 -75556 -66680 -350333
653329275301111297 -50634 -75413 -66585 -350227
653329275308545992 -50561 -75334 -66702 -350236
653329275315980687 -50730 -74515 -65753 -350287
653329275323415382 -50876 -75149 -66319 -350256
653329275330850077 -50753 -75347 -66644 -350313
653329275338284772 -50678 -75272 -66724 -350252
653329275345719467 -49777 -74495 -65731 -349352
653329275353154162 -50463 -75216 -66388 -349937
653329275360588857 -50700 -75346 -66688 -350055
653329275368023552 -50861 -75555 -66756 -350111
653329275375458249 -50180 -75817 -66968 -350082
653329275382892944 -50667 -75785 -67045 -350185
653329275390327639 -50895 -75774 -67004 -350223
653329275397762334 -50964 -75911 -67115 -350201
653329275405197029 -51011 -75858 -67088 -350304
653329275412631724 -51054 -75940 -67118 -350304
653329275420066419 -50974 -75939 -67111 -350257
653329275427501114 -51082 -75954 -67232 -350306
653329275434935809 -51069 -75958 -67167 -350271
653329275442370504 -51090 -75902 -67206 -350377
653329275449805199 -51194 -75934 -67154 -350275
653329275457239894 -51199 -75927 -67242 -350273
653329275464674589 -51222 -75912 -67127 -350255
653329275472109284 -51261 -75944 -67300 -350217
653329275479543979 -51129 -75917 -67180 -350146
653329275486978674 -51085 -76082 -67206 -350227
653329275494413369 -50991 -75954 -67250 -350151
653329275501848064 -51101 -76003 -67300 -350188
653329275509220864 -50892 -76111 -67429 -350078
653329275516659200 -51071 -76086 -67357 -350176
653329275524097536 -51065 -76089 -67408 -350292
653329275531535872 -51310 -76111 -67426 -350337
653329275538974208 -51218 -76045 -67367 -350313
653329275546412544 -51203 -76205 -67468 -350289
653329275553850880 -51251 -76232 -67555 -350263
653329275561289216 -51305 -76131 -67406 -350259
653329275568727552 -51418 -76131 -67351 -350301
653329275576165888 -51323 -76044 -67427 -350302
653329275583604224 -51366 -76091 -67575 -350320
653329275591042560 -51272 -76103 -67478 -350334
653329275598480896 -51270 -76059 -67499 -350216
653329275605919232 -51289 -76086 -67447 -350198
653329275613357568 -51346 -76080 -67458 -350265
653329275620795904 -51320 -76109 -67508 -350185
653329275628234240 -51317 -76038 -67521 -350176
653329275635672576 -51318 -75079 -66714 -350275
653329275643110912 -51573 -75760 -66997 -350052
653329275650549248 -51433 -75863 -67269 -350146
653329275657987584 -51259 -75971 -67413 -350167
653329275665425920 -50299 -74949 -66455 -349236
653329275672864256 -50868 -75639 -67120 -349894
653329275680302592 -51010 -75847 -67327 -350067
653329275687740928 -51033 -75937 -67369 -350160
653329275695179264 -50186 -76091 -67618 -349683
653329275702617600 -50746 -76140 -67555 -350029
653329275710055936 -51047 -76106 -67567 -350142
653329275717494272 -51216 -76059 -67566 -350125
653329275724932608 -51298 -76078 -67590 -350264
653329275732370944 -51300 -76052 -67606 -350342
653329275739809280 -51237 -75918 -67544 -350315
653329275747247616 -51271 -75943 -67564 -350210
653329275754685952 -51269 -75986 -67487 -350342
653329275762124288 -51246 -76079 -67475 -350289
653329275769562624 -51202 -75908 -67391 -350271
653329275777124754 -51215 -75739 -67254 -350449
653329275784555808 -51214 -75863 -67345 -350404
653329275791986862 -51152 -75954 -67481 -350367
653329275799417916 -51054 -75881 -67420 -350216
653329275806848970 -51186 -75846 -67411 -350340
653329275814280024 -51100 -75839 -67340 -350184
653329275821711078 -51149 -75984 -67337 -350279
653329275829142132 -51098 -75984 -67435 -350258
653329275836573186 -51082 -75937 -67482 -350225
653329275844004240 -50938 -75865 -67469 -350300
653329275851435294 -51077 -75951 -67399 -350285
653329275858866348 -51043 -75871 -67409 -350286
653329275866297402 -51033 -75820 -67461 -350267
653329275873728456 -51134 -75815 -67365 -350292
653329275881159510 -51042 -75884 -67451 -350294
653329275888590564 -50990 -75773 -67407 -350271
653329275896021618 -51055 -75851 -67303 -350316
653329275903452672 -51059 -75794 -67283 -350331
653329275910759936 -51010 -75557 -67438 -350214
653329275918198272 -51009 -75541 -67288 -350246
653329275925636608 -50995 -75688 -67341 -350322
653329275933074944 -50955 -75680 -67365 -350343
653329275940513280 -50897 -75574 -67216 -350270
653329275947951616 -50805 -75538 -67183 -350262
653329275955389952 -50838 -74561 -67149 -350290
653329275962828288 -50887 -75142 -67113 -350309
653329275970266624 -50854 -75283 -67104 -350253
653329275977704960 -50868 -75429 -67215 -350296
653329275985143296 -49746 -74510 -66114 -349208
