timestamp,red,green,ir,,,,
25243,157296,37537,191738,,,,
25253,157292,37565,191736,,,,
25263,157292,37548,191757,,,,
25273,157287,37546,191731,,,,
25283,157275,37545,191725,,,,
25293,157290,37531,191732,,,,
25303,157258,37555,191701,,,,
25313,157214,37566,191719,,,,
25323,157255,37560,191724,,,,
25333,157240,37540,191719,,,,
25343,157252,37562,191729,,,,
25353,157256,37576,191731,,,,
25363,157228,37578,191704,,,,
25373,157222,37562,191746,,,,
25382,157219,37571,191712,,,,
25393,157233,37550,191730,,,,
25403,157205,37575,191692,,,,
25413,157212,37564,191710,,,,
25422,157211,37588,191708,,,,
25433,157194,37586,191716,,,,
25443,157175,37562,191696,,,,
25453,157158,37586,191723,,,,
25462,157184,37586,191695,,,,
25473,157166,37593,191707,,,,
25483,157182,37596,191712,,,,
25493,157155,37596,191715,,,,
25502,157177,37588,191711,,,,
25513,157167,37586,191724,,,,
25523,157143,37593,191717,,,,
25533,157154,37605,191733,,,,
25542,157143,37598,191722,,,,
25552,157155,37588,191723,,,,
25562,157136,37599,191697,,,,
25573,157134,37590,191715,,,,
25583,157150,37605,191720,,,,
25592,157149,37602,191743,,,,
25602,157129,37611,191720,,,,
25613,157131,37612,191700,,,,
25624,157109,37617,191706,,,,
25632,157104,37613,191719,,,,
25643,157106,37615,191698,,,,
25653,157109,37618,191674,,,,
25663,157100,37621,191695,,,,
25673,157093,37623,191705,,,,
25683,157109,37622,191681,,,,
25693,157081,37628,191705,,,,
25703,157075,37643,191694,,,,
25712,157098,37617,191685,,,,
25722,157099,37621,191706,,,,
25732,157085,37618,191716,,,,
25742,157078,37612,191716,,,,
25752,157092,37596,191712,,,,
25763,157094,37599,191722,,,,
25772,157087,37590,191711,,,,
25783,157078,37593,191720,,,,
25792,157059,37581,191704,,,,
25803,157053,37576,191693,,,,
25812,157055,37564,191706,,,,
25823,157051,37555,191694,,,,
25833,157049,37558,191674,,,,
25842,157038,37543,191680,,,,
25853,157035,37536,191665,,,,
25863,157014,37543,191657,,,,
25873,157019,37528,191649,,,,
25882,157020,37545,191649,,,,
25892,157022,37539,191649,,,,
25902,157006,37528,191638,,,,
25913,156998,37520,191625,,,,
25922,156999,37527,191629,,,,
25932,157008,37508,191640,,,,
25943,156980,37520,191642,,,,
25952,157001,37522,191619,,,,
25962,156957,37526,191610,,,,
25973,156971,37519,191604,,,,
25983,156949,37526,191605,,,,
25993,156930,37527,191573,,,,
26002,156942,37522,191566,,,,
26013,156920,37522,191580,,,,
26023,156937,37516,191578,,,,
26033,156916,37524,191577,,,,
26042,156939,37528,191574,,,,
26052,156907,37525,191581,,,,
26063,156933,37526,191566,,,,
26073,156926,37529,191579,,,,
